id,nombre,provincia_id
1,Agurain/Salvatierra,01
2,Alegría-Dulantzi,01
3,Amurrio,01
4,Añana,01
5,Aramaio,01
6,Armiñón,01
7,Arraia-Maeztu,01
8,Arratzua-Ubarrundia,01
9,Artziniega,01
10,Asparrena,01
11,Ayala/Aiara,01
12,"Baños de Ebro/Mañueta",01
13,Barrundia,01
14,Berantevilla,01
15,Bernedo,01
16,Campezo/Kanpezu,01
17,Elburgo/Burgelu,01
18,Elciego,01
19,Elvillar/Bilar,01
20,Erriberabeitia,01
21,"Erriberagoitia/Ribera Alta",01
22,"Harana/Valle de Arana",01
23,"Iruña Oka/Iruña de Oca",01
24,Iruraiz-Gauna,01
25,Kripan,01
26,Kuartango,01
27,Labastida/Bastida,01
28,Lagrán,01
29,Laguardia,01
30,Lanciego/Lantziego,01
31,Lantarón,01
32,"Lapuebla de Labarca",01
33,Laudio/Llodio,01
34,Legutio,01
35,Leza,01
36,"Moreda de Álava/Moreda Araba",01
37,Navaridas,01
38,Okondo,01
39,Oyón-Oion,01
40,Peñacerrada-Urizaharra,01
41,Samaniego,01
42,"San Millán/Donemiliaga",01
43,Urkabustaiz,01
44,Valdegovía/Gaubea,01
45,"Villabuena de Álava/Eskuernaga",01
46,Vitoria-Gasteiz,01
47,Yécora/Iekora,01
48,Zalduondo,01
49,Zambrana,01
50,Zigoitia,01
51,Zuia,01
52,Abengibre,02
53,Alatoz,02
54,Albacete,02
55,Albatana,02
56,Alborea,02
57,Alcadozo,02
58,"Alcalá del Júcar",02
59,Alcaraz,02
60,Almansa,02
61,Alpera,02
62,Ayna,02
63,Balazote,02
64,"Ballestero, El",02
65,"Balsa de Ves",02
66,Barrax,02
67,Bienservida,02
68,Bogarra,02
69,Bonete,02
70,"Bonillo, El",02
71,Carcelén,02
72,"Casas de Juan Núñez",02
73,"Casas de Lázaro",02
74,"Casas de Ves",02
75,Casas-Ibáñez,02
76,Caudete,02
77,Cenizate,02
78,"Chinchilla de Monte-Aragón",02
79,Corral-Rubio,02
80,Cotillas,02
81,"Elche de la Sierra",02
82,Férez,02
83,Fuensanta,02
84,Fuente-Álamo,02
85,Fuentealbilla,02
86,"Gineta, La",02
87,Golosalvo,02
88,Hellín,02
89,"Herrera, La",02
90,Higueruela,02
91,Hoya-Gonzalo,02
